ID,Name,Type,Parent Circle ID,Purpose,Accountabilities,Scope,Privileges,Status,Lead Link,Person ID,Definition note,Engagement level,Assignment basis
G-001,Sapiens First Global,Circle,,Revolutionary social and political change around AI governance.,Maintaining movement-wide direction; coordinating shared resources and organizational records; supporting the work of its circles,,,Active,Rohan,P-001,,Staff,User-directed default assignment
G-002,Vision & Strategy,Role,G-041,Cross-pillar strategic planning; Keep the org anchored to Purpose over time,Setting/tracking OKRs; surfacing what's slipping; sequencing priority-city rankings; Reviewing major strategic decisions against Purpose; resolving Purpose-level tensions,"Org-wide OKRs, quarterly priorities; Final call on Purpose/Vision statements",,Active,Rohan,P-001,"Parent circle changed from General Company Circle (G-001) to Vision & Strategy Circle (G-003) per 2026-09-22 governance restructuring. Merged with G-003 on 2026-09-23; continuing role retains its ID and work ownership. Purpose, accountabilities, scope, privileges, and recorded assignment carried forward from the wrapper.",Staff,User-directed default assignment
G-003,Vision & Strategy,Circle,G-001,Cross-pillar strategic planning,Setting/tracking OKRs; surfacing what's slipping; sequencing priority-city rankings,"Org-wide OKRs, quarterly priorities",,Retired,Rohan,,Renamed from Strategy Circle on 2026-09-22. Retired 2026-09-23: single-role circle consolidated into G-002; see the dated succeeds relationship.,,
G-004,Media,Circle,G-001,Own how Sapiens First is seen and heard externally,Maintaining visual identity; approving public statements; managing press,"Brand, external messaging, website content",,Active,Rohan,P-001,Renamed from Communications & Narrative Circle on 2026-09-22.,Staff,User-directed default assignment
G-005,Spokesperson,Role,G-004,Represent Sapiens First publicly with a consistent voice,Media training; interview prep; approving quotes attributed to the org,"Public statements, media interviews",,Active,Rohan,P-001,,Staff,User-directed default assignment
G-006,Website Owner,Role,G-004,Keep sapiensfirst.org accurate and converting,Publishing updates; maintaining donate/strategy/campaign pages,"Site content, structure, hosting",,Active,Rohan,P-001,,Staff,User-directed default assignment
G-007,Advocacy,Circle,G-001,Win policy that restricts AI-enabled harm,Choosing campaigns; setting policy platform; coalition strategy,"Campaign selection, policy asks",,Active,Rohan,P-001,,Staff,User-directed default assignment
G-008,Stop 1984!,Circle,G-007,"Ban AI-enabled mass surveillance, starting in California",Research library; policy platform; city-by-city strategic plan; media resources,"Campaign research, asks, media, strategic plan",,Retired,Al,, Retired 2026-09-23: Campaign coordination is carried directly by roles in Advocacy.,,
G-009,Stop 1984 CA Strategist,Role,G-007,A focused California strategy advances the campaign to end AI-enabled mass surveillance.,"Mapping decision-makers and coalition opportunities; prioritizing California cities and campaign milestones; maintaining the campaign strategic plan; coordinating research, policy asks, and organizing work",California campaign strategy and city playbooks,,Active,Al,P-004, Updated from user-directed governance and role definitions on 2026-09-23.,Fellow,User-provided project match
G-010,Community,Circle,G-001,Build a nationwide network of local chapters,Chapter lifecycle; member onboarding/offboarding; digital presence,"Chapter model, member engagement, social content",,Active,Rohan,P-001,,Staff,User-directed default assignment
G-011,Chapter Network,Circle,G-010,Make starting/running a chapter easy and safe,Starter kit; leader vetting; dispute handling; chapter lifecycle management,"Chapter constitution, Discord architecture",,Retired,Unassigned,," Retired 2026-09-23: Chapter Network removed; Berkeley Chapter is a separate root circle, not its organizational successor.",,
G-012,Digital Presence,Circle,G-010,Grow reach across social channels,Content production workflow; approval process; channel metrics,"Content calendar, scheduling automations",,Retired,Unassigned,, Retired 2026-09-23: single-role circle consolidated into G-033; see the dated succeeds relationship.,,
G-013,Empowerment,Circle,G-001,Train and onboard leaders/activists at scale,Cohort management; curriculum; leadership academy,"Fellowship program, leadership curriculum",,Active,Rohan,P-001,,Staff,User-directed default assignment
G-014,Fellowship Program,Circle,G-013,Run the Fellowship end-to-end,Applicant funnel; project matching; check-ins; offboarding,"Recruitment, matching, cohort management",,Retired,Unassigned,, Retired 2026-09-23: single-role circle consolidated into G-026; see the dated succeeds relationship.,,
G-015,Knowledge Base,Circle,G-036,Centralize organizational knowledge,Content ownership rules; permissions; keeping content current,"Wiki.js, information architecture",,Retired,Da,,Parent circle changed from Empowerment Circle (G-013) to Tech Circle (G-036) per 2026-09-22 governance restructuring: Tech owns knowledge management. Retired 2026-09-23: single-role circle consolidated into G-030; see the dated succeeds relationship.,,
G-016,Newspaper,Circle,G-013,Publish the Sapiens First Newspaper,Submissions process; editorial standards; production cadence,"Editorial voice, sections, production",,Retired,Vi,, Retired 2026-09-23: Newspaper is energized by Newspaper Editor-in-Chief (G-034) within Community.,,
G-017,Biz Ops,Circle,G-001,Systems that let a lean team run at scale,Campaign automations; data integrity; 501(c)(3)/(c)(4) compliance; budget tracking,"CRM, automations, legal/compliance, finance",,Active,Rohan,P-001,Renamed from Operations & Infrastructure Circle on 2026-09-22.,Staff,User-directed default assignment
G-018,Membership Systems,Circle,G-017,Automate the member lifecycle,Onboarding/offboarding triggers; failure handling; privacy/backups,"Stripe, CRM, Discord integration",,Retired,Ba,, Retired 2026-09-23: single-role circle consolidated into G-031; see the dated succeeds relationship.,,
